,D0000000101,D0000000102,D0000000103,D0000000104,D0000000105,D0000000106,D0000000107,D0000000108,D0000000109,D0000000201,D0000000202,D0000000203,D0000000204,D0000000205,D0000000206,D0000000207,D0000000208,D0000000209,D0000000301,D0000000302,D0000000303,D0000000304,D0000000305,D0000000306,D0000000307,D0000000308,D0000000309,D0000000401,D0000000402,D0000000403,D0000000404,D0000000405,D0000000406,D0000000407,D0000000408,y
117,6.8197553,6.7665859,5.881319,6.4218153,6.3686219,5.483563,6.5979066,6.5447532,5.6593475,-29.0213742,-29.0646961,-28.6887338,-43.4049213,-43.4810295,-42.8208174,-19.4323439,-19.4546928,-19.2606875,4.7710477,4.7999558,4.5490817,5.9638392,6,5.6863175,3.9758534,4,3.7903887,500,5.8954372,7.8164297,-145.106871,3.8825806,-0.2900977,-0.0001846,-2.21E-06,25
118,6.9439256,6.8956654,5.9658242,6.5459856,6.497704,5.5680655,6.7220769,6.6738308,5.7438546,-29.0257734,-29.0647558,-28.6941009,-43.4122136,-43.4810295,-42.8269826,-19.4348132,-19.4546928,-19.2656203,4.7737341,4.7999607,4.5505905,5.9672091,6,5.6883455,3.978084,4,3.7915591,550,5.978191,7.9405604,-145.128867,3.9045766,-0.2637747,-0.0001526,-1.66E-06,27.5
119,7.0572056,7.010652,6.0643056,6.6592553,6.6127346,5.6660641,6.8353636,6.7887827,5.8427053,-29.0345477,-29.0642511,-28.7110585,-43.423706,-43.4810295,-42.8440423,-19.4377945,-19.4546928,-19.2678448,4.7772869,4.7999548,4.5513921,5.9715604,6,5.6911482,3.9803416,4,3.7902331,600,6.0533735,8.0532773,-145.150831,3.926541,-0.2418374,-0.0001284,-1.28E-06,30
120,3.6954817,3.0354297,3.5882717,3.0934217,2.4297523,2.9872192,3.5705429,2.9116902,3.4629966,-51.6518381,-51.9711948,-51.5624182,-154.537866,-156.491691,-153.99659,-17.3564956,-17.515296,-17.311874,2.8342742,2.9917051,2.7901936,5.6443548,6,5.545829,1.8975807,2,1.8688017,50,3.8985573,4.8211098,-206.607352,-2.4294973,-4.1156843,-0.0260969,-0.0031191,2.5
121,4.5979583,4.306618,4.2870175,3.9958983,3.7056072,3.6838572,4.4730196,4.181329,4.1624449,-52.010415,-52.3466605,-51.6586465,-155.517169,-156.48669,-154.497857,-17.5081636,-17.5212797,-17.4944647,2.9127801,3.0024187,2.8190034,5.8249546,6,5.6409195,1.9420553,2,1.8815355,100,4.4988853,5.7216018,-208.04166,-0.9951896,-2.0762641,-0.0065958,-0.000395,5
122,5.125865,4.939664,4.6682834,4.5237985,4.3375591,4.0662886,5.0009284,4.8147402,4.5433229,-52.0798938,-52.2596312,-51.7441415,-155.787331,-156.485943,-154.482644,-17.5114379,-17.5223173,-17.4911131,2.941445,2.9998966,2.8322565,5.8833074,6,5.665379,1.9608438,2,1.8876932,150,4.8504897,6.2490084,-208.319575,-0.7172745,-1.3869479,-0.0029393,-0.0001174,7.5
123,5.5007852,5.3633449,4.9342055,4.8987252,4.7612435,4.3322566,5.3758464,5.23842,4.8092297,-52.1352626,-52.2593499,-51.8019384,-156.004548,-156.486394,-154.710663,-17.5121675,-17.521416,-17.487321,2.9568813,2.9999047,2.8413116,5.9132955,6,5.6804709,1.9714099,2,1.8946021,200,5.100078,6.6233908,-208.54105,-0.4957994,-1.0416636,-0.0016562,-4.96E-05,10
124,5.7914836,5.6827775,5.1367332,5.1894229,5.0806337,4.5349648,5.6665451,5.5578668,5.0116973,-52.1472491,-52.2559536,-51.7650481,-156.041822,-156.486462,-154.479834,-17.5157996,-17.521394,-17.496124,2.9648249,2.9998069,2.8418294,5.9299374,6,5.6838128,1.9764562,2,1.8936533,250,5.2937245,6.9138605,-208.588996,-0.4478533,-0.833689,-0.0010606,-2.54E-05,12.5
125,6.02902,5.9390358,5.3011863,5.42696,5.3368898,4.6994995,5.9040812,5.8141257,5.1761231,-52.1767423,-52.2559067,-51.8328841,-156.155181,-156.4864,-154.718021,-17.5172626,-17.5215769,-17.4985163,2.9709682,2.9998021,2.8457255,5.9419888,6,5.6902779,1.980628,2,1.8964543,300,5.4519712,7.1512307,-208.706969,-0.3298806,-0.6952264,-0.0007372,-1.47E-05,15
126,6.229863,6.1531341,5.4392379,5.627803,5.5510814,4.83714,6.1049243,6.0281929,5.3143118,-52.2367924,-52.2633499,-52.0993623,-156.208703,-156.486418,-154.771426,-17.579489,-17.5215459,-17.8793241,2.9754045,3.0000169,2.8480396,5.9500456,6,5.691513,1.9838575,2,1.9003254,350,5.5857822,7.351947,-208.94717,-0.0896799,-0.596651,-0.0005423,-9.29E-06,17.5
127,6.4038261,6.3369868,5.5580831,5.8017658,5.7349134,4.9561012,6.2788875,6.2120525,5.4331183,-52.196359,-52.2616456,-51.8039603,-156.229989,-156.48642,-154.689065,-17.5185187,-17.5214827,-17.5007024,2.9781699,2.9999692,2.8471474,5.956425,6,5.6945766,1.9854192,2,1.8977768,400,5.701704,7.5258299,-208.785436,-0.2514137,-0.5217027,-0.000415,-6.22E-06,20
128,6.5572354,6.4980084,5.6626936,5.9551752,5.8959747,5.0604523,6.4322967,6.3730609,5.5378153,-52.2049586,-52.264836,-51.7951529,-156.264412,-156.486372,-154.744572,-17.518487,-17.5215133,-17.4977779,2.9806203,3.0000607,2.8475688,5.9612699,6,5.6960717,1.9870708,2,1.8985962,450,5.8039609,7.6792151,-208.819834,-0.2170153,-0.4638379,-0.000328,-4.37E-06,22.5
129,6.6945414,6.6413203,5.7565022,6.0924813,6.0392614,5.1544331,6.5696027,6.5163812,5.6315665,-52.2120532,-52.2628137,-51.8227001,-156.290679,-156.486398,-154.789396,-17.5191874,-17.5215025,-17.5014302,2.9826175,3.0000025,2.849267,5.965249,6,5.6986889,1.9884072,2,1.8994864,500,5.8954372,7.8164297,-208.848213,-0.1886369,-0.4175294,-0.0002657,-3.19E-06,25
130,6.8186987,6.7704434,5.8405552,6.2166387,6.1683879,5.2384576,6.69376,6.6455032,5.715629,-52.2334341,-52.2631023,-51.9809824,-156.310853,-156.486394,-154.816994,-17.5409612,-17.5215334,-17.7062705,2.9842606,3.0000102,2.8502445,5.9683973,6,5.6994583,1.9895484,2,1.9006163,550,5.978191,7.9405604,-208.933737,-0.1031131,-0.3797414,-0.0002197,-2.40E-06,27.5
131,6.9320856,6.8878858,5.9178089,6.3300256,6.2858248,5.3157584,6.8071468,6.7629474,5.7928671,-52.2201549,-52.262667,-51.8233387,-156.321904,-156.486388,-154.786616,-17.519572,-17.5215347,-17.5012511,2.9855212,2.9999977,2.8503948,5.9710681,6,5.7010184,1.9903389,2,1.9001593,600,6.0537419,8.0538866,-208.88062,-0.15623,-0.3480184,-0.0001846,-1.85E-06,30
132,3.6364879,2.9590414,3.5340261,3.2385479,2.5682017,3.1341771,3.4146391,2.7323938,3.3134454,-29.2673664,-27.2013135,-29.8171057,-43.1924867,-40.6276641,-43.8892447,-19.9839529,-18.0017769,-20.5040574,4.4762125,4.8131868,4.3865497,5.6056582,6,5.4985316,3.7232487,4,3.6506317,50,3.8985573,4.8211098,-146.336832,11.1056031,-2.9150763,-0.018484,-0.0022092,2.5
133,4.5410798,4.2502248,4.2296307,4.1431398,3.8508912,3.8331471,4.319231,4.0293026,4.0068082,-26.8582799,-27.0198434,-26.6888705,-40.3086846,-40.618942,-39.9854884,-17.8913434,-18.0020825,-17.7747173,4.6358458,4.7974371,4.4664074,5.795023,6,5.5814978,3.863061,4,3.7188423,100,4.4988853,5.7216018,-134.291399,-0.9398298,-1.3402335,-0.0042576,-0.0002549,5
134,5.0691129,4.882991,4.6113834,4.6711728,4.485835,4.2119744,4.8472641,4.6606189,4.3905112,-26.9165316,-27.0623938,-26.643916,-40.3711907,-40.6120078,-39.9187644,-17.9467588,-18.0020848,-17.8437114,4.6900981,4.8014454,4.4819908,5.865629,6,5.6131844,3.9064108,4,3.7320964,150,4.8504897,6.2490084,-134.582658,-0.6485712,-0.896023,-0.0018989,-7.59E-05,7.5
135,5.4438417,5.3067766,4.8762525,5.0459017,4.9090101,4.4778445,5.2219929,5.0848121,4.6547155,-26.9474614,-27.0494854,-26.6725287,-40.4541722,-40.6115827,-40.0293576,-17.9429875,-18.0020628,-17.7839489,4.7168532,4.8003197,4.4919288,5.8963094,6,5.6164726,3.9305491,4,3.7435778,200,5.100078,6.6233908,-134.737307,-0.4939222,-0.6730135,-0.0010701,-3.21E-05,10
136,5.7348038,5.6260261,5.0803053,5.3368638,5.2280768,4.6823978,5.5129551,5.4041835,4.8584349,-26.9808268,-27.0459971,-26.7518612,-40.5006033,-40.6123565,-40.1080138,-17.9676424,-18.0020784,-17.8466493,4.7332529,4.799983,4.4988073,5.9168838,6,5.6248961,3.9441657,4,3.7479878,250,5.2937245,6.9138605,-134.904134,-0.3270951,-0.5391852,-0.000686,-1.65E-05,12.5
137,5.9722121,5.8822507,5.2442796,5.5742721,5.4841688,4.8469553,5.7503633,5.6604965,5.0220199,-26.9887364,-27.043489,-26.7508468,-40.5125988,-40.6129917,-40.0771709,-17.9728281,-18.0020762,-17.8456026,4.7445854,4.7997388,4.5049544,5.9314354,6,5.6340541,3.9533521,4,3.7504396,300,5.4519712,7.1512307,-134.943682,-0.287547,-0.4495126,-0.0004766,-9.53E-06,15
138,6.1730493,6.0963743,5.382145,5.7751092,5.6983998,4.9843833,5.9512005,5.8745485,5.1601773,-26.9889818,-27.0455626,-26.695961,-40.5194262,-40.6125928,-40.0371712,-17.9686855,-18.0020711,-17.7957316,4.752675,4.7999366,4.5079168,5.9411157,6,5.6363146,3.9603812,4,3.7551365,350,5.5857822,7.351947,-134.944909,-0.28632,-0.3853367,-0.0003502,-6.00E-06,17.5
